artist_full_name,cultivar_name,fruit_common_name,fruit_origin_country,fruit_origin_polity,fruit_scientific_name,fruit_variety,image_created_year,image_url,is_originpolity_largest_producer,is_usda_recognized_plant_family,pomological_Id
Thompson Harriet L.,plum and prune,plums,United States, California,prunus domestica,Methley,1915.0,/POM00004959.jpg,False,True,POM00004959
Shull James Marion,berry,avocados,United States, Florida,persea,Winslowson,1937.0,/POM00004613.jpg,False,True,POM00004613
Shull James Marion,berry,avocados,United States, Florida,persea,Winslowson,1937.0,/POM00004614.jpg,False,True,POM00004614
Schutt Ellen Isham,apricot,dates,Morocco,,phoenix dactylifera,Tafilalt,1906.0,/POM00007408.jpg,False,True,POM00007408
Passmore Deborah Griscom,nuts,Italian stone pine,United States, New York,pinus pinea,,1908.0,/POM00000355.jpg,False,True,POM00000355
Shull James Marion,citrus,oranges,United States, Alabama,poncirus trifoliata,,1916.0,/POM00006731.jpg,False,True,POM00006731
Shull James Marion,citrus,oranges,United States, Texas,poncirus trifoliata,,1936.0,/POM00006732.jpg,False,True,POM00006732
Shull James Marion,citrus,oranges,United States, Louisiana,poncirus trifoliata,,1928.0,/POM00005967.jpg,False,True,POM00005967
Steadman Royal Charles,citrus,oranges,United States,California,poncirus trifoliata,Washington Navel,1931.0,/POM00006612.jpg,False,True,POM00006612
Newton Amanda Almira,tropical fruit,yellow sapote,United States, Florida,pouteria campechiana,,1905.0,/POM00007414.jpg,False,True,POM00007414
Newton Amanda Almira,tropical fruit,canistel,,,pouteria campechiana,Mammey,1909.0,/POM00007411.jpg,False,True,POM00007411
,plum and prune,Chickasaw plum,United States, Texas,prunus angustifolia,Early Red,1888.0,/POM00007457.jpg,False,True,POM00007457
Schutt Ellen Isham,cherry,cherries,United States, Texas,prunus australis,,1907.0,/POM00007416.jpg,False,False,POM00007416
Passmore Deborah Griscom,cherry,cherries,United States, Michigan,prunus avium,,1898.0,/POM00003624.jpg,False,True,POM00003624
Heiges Bertha,cherry,cherries,United States, Michigan,prunus avium,,1897.0,/POM00004187.jpg,False,True,POM00004187
Heiges Bertha,cherry,cherries,United States, Michigan,prunus avium,,1897.0,/POM00004427.jpg,False,True,POM00004427
Heiges Bertha,cherry,cherries,United States, Michigan,prunus avium,,1897.0,/POM00004435.jpg,False,True,POM00004435
Passmore Deborah Griscom,cherry,cherries,United States, Oregon,prunus avium,,1896.0,/POM00004447.jpg,False,True,POM00004447
Passmore Deborah Griscom,cherry,cherries,United States, Michigan,prunus avium,,1897.0,/POM00004466.jpg,False,True,POM00004466
Passmore Deborah Griscom,cherry,cherries,United States, Michigan,prunus avium,,1897.0,/POM00004468.jpg,False,True,POM00004468
Passmore Deborah Griscom,cherry,cherries,United States, Michigan,prunus avium,,1897.0,/POM00004471.jpg,False,True,POM00004471
Schutt Ellen Isham,cherry,cherries,United States, Virginia,prunus avium,Montmorency de Bourgueil,1911.0,/POM00004690.jpg,False,True,POM00004690
Arnold Mary Daisy,cherry,cherries,United States, California,prunus avium,Montmorency de Mezel,1914.0,/POM00004691.jpg,False,True,POM00004691
Schutt Ellen Isham,cherry,cherries,United States, Virginia,prunus avium,Montmorency de Savigny,1910.0,/POM00004180.jpg,False,True,POM00004180
Shull James Marion,cherry,cherries,United States, Maryland,prunus avium,Morello,1919.0,/POM00004718.jpg,False,True,POM00004718
Steadman Royal Charles,cherry,cherries,United States, Virginia,prunus avium,Morreau,1936.0,/POM00003625.jpg,False,True,POM00003625
Lower Elsie E.,cherry,cherries,United States, Oregon,prunus avium,Napoleon,1907.0,/POM00003653.jpg,False,True,POM00003653
Steadman Royal Charles,cherry,cherries,United States, Virginia,prunus avium,Napolitana,1936.0,/POM00003654.jpg,False,True,POM00003654
Newton Amanda Almira,cherry,cherries,United States, Oregon,prunus avium,Norma,1914.0,/POM00003655.jpg,False,True,POM00003655
Steadman Royal Charles,cherry,cherries,United States, New York,prunus avium,Northwest,1916.0,/POM00004182.jpg,False,True,POM00004182
Passmore Deborah Griscom,cherry,cherries,United States, Pennsylvania,prunus avium,Oerman,1896.0,/POM00004184.jpg,False,True,POM00004184
Newton Amanda Almira,cherry,cherries,United States, New York,prunus avium,Olivet,1915.0,/POM00004185.jpg,False,True,POM00004185
Heiges Bertha,cherry,cherries,United States, Washington,prunus avium,Olympia,1898.0,/POM00004186.jpg,False,True,POM00004186
Arnold Mary Daisy,cherry,cherries,United States, New York,prunus avium,Ostheim,1915.0,/POM00004188.jpg,False,True,POM00004188
Arnold Mary Daisy,cherry,cherries,United States, Pennsylvania,prunus avium,Perry,1914.0,/POM00004189.jpg,False,True,POM00004189
Heiges Bertha,cherry,cherries,United States, Ohio,prunus avium,Red Jacket,1900.0,/POM00004190.jpg,False,True,POM00004190
Arnold Mary Daisy,cherry,cherries,United States, New York,prunus avium,Reine Hortense,1915.0,/POM00004692.jpg,False,True,POM00004692
Thompson Harriet L.,cherry,cherries,United States, New York,prunus avium,Riga,1915.0,/POM00004693.jpg,False,True,POM00004693
Newton Amanda Almira,cherry,cherries,United States, New York,prunus avium,Rockport,1913.0,/POM00004694.jpg,False,True,POM00004694
Newton Amanda Almira,cherry,cherries,United States, Virginia,prunus avium,Roditelsky,1911.0,/POM00004695.jpg,False,True,POM00004695
Arnold Mary Daisy,cherry,cherries,United States, Oregon,prunus avium,Roe,1911.0,/POM00004696.jpg,True,True,POM00004696
Lower Elsie E.,apricot,peaches,United States, Texas,prunus persica,Augbert,1908.0,/POM00005064.jpg,False,True,POM00005064
Lower Elsie E.,apricot,peaches,United States, Texas,prunus persica,Augbert,1908.0,/POM00005065.jpg,False,True,POM00005065
Schutt Ellen Isham,apricot,peaches,United States, Texas,prunus persica,Aurora,1910.0,/POM00005066.jpg,False,True,POM00005066
Steadman Royal Charles,apricot,peaches,United States, California,prunus persica,Babcock,1933.0,/POM00005067.jpg,False,True,POM00005067
Passmore Deborah Griscom,apricot,peaches,United States, Pennsylvania,prunus persica,Bahn,1897.0,/POM00005068.jpg,False,True,POM00005068
Arnold Mary Daisy,apricot,peaches,United States, Virginia,prunus persica,Bailey,1913.0,/POM00005069.jpg,False,True,POM00005069
Newton Amanda Almira,apricot,peaches,United States, Virginia,prunus persica,Baltimore 4104,1913.0,/POM00005070.jpg,False,True,POM00005070
Passmore Deborah Griscom,apricot,peaches,United States, Virginia,prunus persica,Baltimore 4104,1910.0,/POM00005071.jpg,False,True,POM00005071
Arnold Mary Daisy,apricot,peaches,United States, Maryland,prunus persica,Banner,1936.0,/POM00005072.jpg,False,True,POM00005072
Lower Elsie E.,apricot,peaches,United States, Virginia,prunus persica,Banner Free,1910.0,/POM00005164.jpg,False,True,POM00005164
Arnold Mary Daisy,apricot,peaches,United States, Texas,prunus persica,Barbara,1912.0,/POM00005154.jpg,False,True,POM00005154
Krieger L.C.C. (Louis Charles Christopher),apricot,peaches,United States, Maryland,prunus persica,Barnard,1936.0,/POM00005155.jpg,False,True,POM00005155
Passmore Deborah Griscom,apricot,peaches,United States, Michigan,prunus persica,Barnard Early,1903.0,/POM00005156.jpg,False,True,POM00005156
Arnold Mary Daisy,apricot,peaches,United States, Florida,prunus persica,Bartow,1911.0,/POM00005157.jpg,False,True,POM00005157
Arnold Mary Daisy,apricot,peaches,United States, Georgia,prunus persica,Baston,1913.0,/POM00005158.jpg,False,True,POM00005158
Newton Amanda Almira,apricot,peaches,United States, Iowa,prunus persica,Baylor Seedling No. 1,1908.0,/POM00005159.jpg,False,True,POM00005159
Newton Amanda Almira,apricot,peaches,United States, Virginia,prunus persica,Beals Late White,1908.0,/POM00005160.jpg,False,True,POM00005160
Newton Amanda Almira,apricot,peaches,United States, Virginia,prunus persica,Beautys Blush,1910.0,/POM00005161.jpg,False,True,POM00005161
Passmore Deborah Griscom,apricot,peaches,United States, Illinois,prunus persica,Beaver No. 2,1896.0,/POM00005162.jpg,False,True,POM00005162
Passmore Deborah Griscom,apricot,peaches,United States, Pennsylvania,prunus persica,Becker,1897.0,/POM00005163.jpg,False,True,POM00005163
Arnold Mary Daisy,apple,apples,United States, Washington,malus domestica,Ben Davis,1912.0,/POM00000158.jpg,False,True,POM00000158
Arnold Mary Daisy,apple,apples,United States, Oregon,malus domestica,Ben Davis,1912.0,/POM00000159.jpg,False,True,POM00000159
Arnold Mary Daisy,apple,apples,United States, Pennsylvania,malus domestica,Ben Davis,1912.0,/POM00000160.jpg,False,True,POM00000160
Arnold Mary Daisy,apple,apples,United States,Virginia,malus domestica,Ben Davis,1912.0,/POM00000161.jpg,False,True,POM00000161
Arnold Mary Daisy,apple,apples,United States, Virginia,malus domestica,Ben Davis,1912.0,/POM00000162.jpg,False,True,POM00000162
Newton Amanda Almira,apple,apples,United States, North Carolina,malus domestica,Ben Davis,1912.0,/POM00000163.jpg,False,True,POM00000163
Arnold Mary Daisy,apple,apples,United States, Arkansas,malus domestica,Ben Davis,1912.0,/POM00000164.jpg,True,True,POM00000164
Shull James Marion,apple,apples,,,malus domestica,Ben Davis,1918.0,/POM00003662.jpg,False,True,POM00003662
Shull James Marion,apple,apples,United States, New Jersey,malus domestica,Ben Davis,1921.0,/POM00003761.jpg,False,True,POM00003761
Shull James Marion,apple,apples,United States, New Jersey,malus domestica,Ben Davis,1921.0,/POM00003762.jpg,False,True,POM00003762
Shull James Marion,apple,apples,United States, West Virginia,malus domestica,Ben Davis,1936.0,/POM00003766.jpg,False,True,POM00003766
Shull James Marion,apple,apples,United States, Virginia,malus domestica,Ben Davis,1910.0,/POM00003774.jpg,False,True,POM00003774
Shull James Marion,apple,apples,United States, Virginia,malus domestica,Ben Davis,1910.0,/POM00003775.jpg,False,True,POM00003775
Shull James Marion,apple,apples,United States, Virginia,malus domestica,Ben Davis,1910.0,/POM00003776.jpg,False,True,POM00003776
Shull James Marion,apple,apples,United States, Virginia,malus domestica,Ben Davis,1918.0,/POM00003878.jpg,False,True,POM00003878
Shull James Marion,apple,apples,United States, Virginia,malus domestica,Ben Davis,1918.0,/POM00003881.jpg,False,True,POM00003881
Shull James Marion,apple,apples,United States, Arkansas,malus domestica,Ben Davis,1918.0,/POM00003882.jpg,False,True,POM00003882
Shull James Marion,apple,apples,United States, Arkansas,malus domestica,Ben Davis,1918.0,/POM00003884.jpg,False,True,POM00003884
Shull James Marion,apple,apples,United States, Arkansas,malus domestica,Ben Davis,1918.0,/POM00003885.jpg,True,True,POM00003885
Shull James Marion,apple,apples,United States, Arkansas,malus domestica,Ben Davis,1919.0,/POM00003889.jpg,False,True,POM00003889
Passmore Deborah Griscom,apricot,peaches,United States, Florida,prunus persica,Bidwell Early,1903.0,/POM00005185.jpg,False,True,POM00005185
Schutt Ellen Isham,apricot,peaches,United States, Florida,prunus persica,Bidwells Early,1911.0,/POM00004888.jpg,False,True,POM00004888
Passmore Deborah Griscom,apricot,peaches,United States, West Virginia,prunus persica,Bilyer,1901.0,/POM00004889.jpg,False,True,POM00004889
Passmore Deborah Griscom,apricot,peaches,United States, West Virginia,prunus persica,Bilyer,1901.0,/POM00004890.jpg,False,True,POM00004890
Heiges Bertha,apricot,peaches,United States, West Virginia,prunus persica,Bilyer,1901.0,/POM00005024.jpg,False,True,POM00005024
Passmore Deborah Griscom,apricot,peaches,United States, Tennessee,prunus persica,Bilyer late,1898.0,/POM00005025.jpg,False,True,POM00005025
Shull James Marion,apricot,peaches,United States, Virginia,prunus persica,Bilyou,1923.0,/POM00006106.jpg,False,True,POM00006106
Passmore Deborah Griscom,apricot,peaches,United States, Texas,prunus persica,Bishop,1910.0,/POM00005026.jpg,False,True,POM00005026
Heiges Bertha,apricot,peaches,United States, Pennsylvania,prunus persica,Bittenger,1900.0,/POM00005027.jpg,False,True,POM00005027
Arnold Mary Daisy,apricot,peaches,United States, Utah,prunus persica,Bloomington,1914.0,/POM00005028.jpg,False,True,POM00005028
Heiges Bertha,apricot,peaches,United States, Texas,prunus persica,Blue Brogden,1901.0,/POM00005029.jpg,False,True,POM00005029
Lower Elsie E.,apricot,peaches,United States, Texas,prunus persica,Bokara,1910.0,/POM00005030.jpg,False,True,POM00005030
Lower Elsie E.,apricot,peaches,United States, Virginia,prunus persica,Bonanza 4031,1910.0,/POM00005186.jpg,False,True,POM00005186
Arnold Mary Daisy,apricot,peaches,United States, Virginia,prunus persica,Bonanza 4031,1913.0,/POM00005187.jpg,False,True,POM00005187
Arnold Mary Daisy,apricot,peaches,United States, Virginia,prunus persica,Bowers,1915.0,/POM00005188.jpg,False,True,POM00005188
Passmore Deborah Griscom,apricot,peaches,United States, Virginia,prunus persica,Bowers Early 4030,1910.0,/POM00005189.jpg,False,True,POM00005189
Passmore Deborah Griscom,apricot,peaches,United States, Delaware,prunus persica,Boyds Early,1895.0,/POM00005190.jpg,False,True,POM00005190
Passmore Deborah Griscom,apricot,peaches,United States, Delaware,prunus persica,Boyds Early,1902.0,/POM00005191.jpg,False,True,POM00005191
Arnold Mary Daisy,apricot,peaches,United States, Maryland,prunus persica,Brackett,1936.0,/POM00005192.jpg,False,True,POM00005192
Lower Elsie E.,apricot,peaches,United States, Georgia,prunus persica,Brackett,1909.0,/POM00005196.jpg,False,True,POM00005196
Heiges Bertha,apple,apples,United States, Pennsylvania,malus domestica,Kirchers Kitchen,1899.0,/POM00002379.jpg,False,True,POM00002379
Strange M.,apple,apples,United States, Tennessee,malus domestica,Kiss Me Quick,1914.0,/POM00002590.jpg,False,True,POM00002590
Passmore Deborah Griscom,apple,apples,United States, New York,malus domestica,Kittagaskee,1901.0,/POM00002376.jpg,False,True,POM00002376
Lower Elsie E.,apple,apples,United States, Texas,malus domestica,Kittagaskee,1905.0,/POM00002377.jpg,False,True,POM00002377
Steadman Royal Charles,apple,apples,United States, Virginia,malus domestica,Kittagaskee,1925.0,/POM00002378.jpg,False,True,POM00002378
Prestele William Henry,apple,apples,United States, Washington,malus domestica,Klickitat,1894.0,/POM00002364.jpg,False,True,POM00002364
Steadman Royal Charles,apple,apples,United States, Virginia,malus domestica,Klickitat,1925.0,/POM00002380.jpg,False,True,POM00002380
Passmore Deborah Griscom,apple,apples,United States, New York,malus domestica,Knickerbocker,1906.0,/POM00002381.jpg,False,True,POM00002381
Steadman Royal Charles,apple,apples,United States, Virginia,malus domestica,Kooroochiang,1926.0,/POM00002382.jpg,False,True,POM00002382
Arnold Mary Daisy,apple,apples,United States, Missouri,malus domestica,Kooroochiang,1916.0,/POM00002383.jpg,False,True,POM00002383
Lower Elsie E.,apple,apples,United States, Arkansas,malus domestica,Kossuth,1905.0,/POM00002443.jpg,False,True,POM00002443
Passmore Deborah Griscom,apple,apples,United States, Illinois,malus domestica,Kossuth,1897.0,/POM00002444.jpg,False,True,POM00002444
Heiges Bertha,apple,apples,United States, Arkansas,malus domestica,Kossuth,1899.0,/POM00002445.jpg,False,True,POM00002445
Shull James Marion,apple,apples,,,malus domestica,Kostella,,/POM00002446.jpg,False,True,POM00002446
Passmore Deborah Griscom,apple,apples,United States, Michigan,malus domestica,Kraus,1902.0,/POM00002447.jpg,False,True,POM00002447
Passmore Deborah Griscom,apple,apples,United States, Michigan,malus domestica,Kraus,1902.0,/POM00002448.jpg,False,True,POM00002448
Prestele William Henry,apple,apples,United States, Pennsylvania,malus domestica,Krauser,1894.0,/POM00002449.jpg,False,True,POM00002449
Heiges Bertha,apple,apples,United States, Ohio,malus domestica,La Grande,1901.0,/POM00002450.jpg,False,True,POM00002450
Arnold Mary Daisy,apple,apples,United States, Maryland,malus domestica,La Pais,1939.0,/POM00002513.jpg,False,True,POM00002513
Heiges Bertha,apple,apples,Canada,,malus domestica,La Victoire,1903.0,/POM00002600.jpg,False,True,POM00002600
Newton Amanda Almira,apple,apples,United States, Virginia,malus domestica,Goodwin,1905.0,/POM00000238.jpg,False,True,POM00000238
Schutt Ellen Isham,apple,apples,United States, Virginia,malus domestica,Goosepen,1907.0,/POM00002042.jpg,False,True,POM00002042
